protocol " srcip" " dstip" " sport" " dport" " min_data_ip" " q1_data_ip" " med_data_ip" mean_data_ip q3_data_ip " max_data_ip" var_data_ip " min_data_wire" " q1_data_wire" " med_data_wire" mean_data_wire q3_data_wire " max_data_wire" var_data_wire min_data_control q1_data_control med_data_control mean_data_control q3_data_control max_data_control var_data_control total_packets ack_pkts_sent pure_acks_sent actual_data_bytes pushed_data_pkts SYN_pkts_sent FIN_pkts_sent urgent_data_pkts max_win_adv min_win_adv zero_win_adv avg_win_adv
tcp 10.0.3.15 106.39.171.84 43288 443 40 40 60 327 40 1500 243585 58 58 78 345 58 1518 243585 5 5 5 5 5 5 0 13 12 5 7 5 1 1 0 25560 14600 0 21502
tcp 10.0.3.15 106.39.169.231 47926 80 40 40 60 473 1461 1500 407787 58 40 78 491 1479 1518 407787 5 5 5 5 5 5 0 7 6 2 4 2 1 1 0 15544 14600 0 15139
tcp 10.0.3.15 150.138.120.1 46471 80 40 40 40 40 40 355 87 58 58 58 58 58 373 87 5 5 5 5 5 5 0 1138 1137 1135 2 1 1 1 0 65320 14600 0 64505
udp 202.113.16.10 10.0.3.15 53 52111 256 256 256 256 256 256 0 274 256 274 274 274 274 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 106.39.169.231 51811 443 40 40 40 45 40 60 75 58 58 58 63 58 78 75 5 5 5 5 5 5 0 4 3 2 1 0 1 1 0 14600 14600 0 14600
tcp 10.0.3.15 106.39.169.231 51812 443 40 40 40 294 40 1500 225637 58 58 58 312 58 1518 225637 5 5 5 5 5 5 0 17 16 9 7 5 1 1 0 31240 14600 0 23626
tcp 10.0.3.15 36.110.181.226 39748 443 40 40 40 176 40 829 68913 58 58 58 194 58 847 68913 5 5 5 5 5 5 0 16 15 9 6 5 1 1 0 30147 14600 0 22877
tcp 150.138.120.1 10.0.3.15 80 33097 40 60 1460 936 60 1460 455020 58 78 1478 954 78 1478 455020 5 5 5 5 5 5 0 1986 1986 2 1983 749 1 1 0 65535 65535 0 65535
tcp 106.39.171.84 10.0.3.15 443 43288 40 40 40 327 40 1460 263266 58 58 58 345 58 1478 263266 5 5 5 5 5 5 0 13 13 7 4 2 1 1 0 65535 65535 0 65535
tcp 106.39.169.231 10.0.3.15 80 47926 40 40 40 88 44 369 13202 58 40 58 106 62 387 13202 5 5 5 5 5 5 0 7 7 4 1 1 1 1 0 65535 65535 0 65535
tcp 150.138.120.1 10.0.3.15 80 46471 40 60 1460 995 60 1460 430330 58 78 1478 1013 78 1478 430330 5 5 5 5 5 5 0 2274 2274 2 2270 768 1 1 0 65535 65535 0 65535
tcp 36.110.181.226 10.0.3.15 443 39748 40 40 52 370 40 1460 243855 58 58 70 388 58 1478 243855 5 5 5 5 5 5 0 16 16 6 8 6 1 1 0 65535 65535 0 65535
