,0
0,----------------------------------------------------------------------------------------------------
protocol " srcip" " dstip" " sport" " dport"
tcp 10.0.3.15 123.246.194.118 55009 443
tcp 123.246.194.118 10.0.3.15 443 55009
tcp 10.0.3.15 121.17.123.141 55104 443
tcp 10.0.3.15 121.17.123.141 35864 443
tcp 121.17.123.141 10.0.3.15 443 55104
tcp 121.17.123.141 10.0.3.15 443 35864
tcp 10.0.3.15 154.8.131.171 46940 443
tcp 154.8.131.171 10.0.3.15 443 46940
tcp 10.0.3.15 154.8.131.165 34428 443
tcp 10.0.3.15 154.8.131.165 60776 443
tcp 154.8.131.165 10.0.3.15 443 34428
tcp 154.8.131.165 10.0.3.15 443 60776
tcp 10.0.3.15 154.8.131.171 47996 443
tcp 154.8.131.171 10.0.3.15 443 47996
tcp 10.0.3.15 121.17.123.141 33162 443
tcp 121.17.123.141 10.0.3.15 443 33162
tcp 10.0.3.15 154.8.131.171 48792 443
tcp 154.8.131.171 10.0.3.15 443 48792
udp 10.0.3.15 202.113.16.41 7535 53
udp 202.113.16.41 10.0.3.15 53 7535
tcp 10.0.3.15 154.8.131.165 34781 443
tcp 154.8.131.165 10.0.3.15 443 34781
tcp 10.0.3.15 154.8.131.165 51282 443
tcp 154.8.131.165 10.0.3.15 443 51282
udp 10.0.3.15 202.113.16.41 10177 53
udp 10.0.3.15 202.113.16.41 1903 53
udp 10.0.3.15 202.113.16.41 1199 53
udp 202.113.16.41 10.0.3.15 53 1199
tcp 10.0.3.15 154.8.131.172 45041 443
tcp 10.0.3.15 119.29.29.29 39947 80
tcp 154.8.131.172 10.0.3.15 443 45041
tcp 119.29.29.29 10.0.3.15 80 39947
udp 202.113.16.41 10.0.3.15 53 1903
tcp 10.0.3.15 140.249.38.220 45854 80
udp 202.113.16.41 10.0.3.15 53 10177
tcp 10.0.3.15 124.238.243.14 46447 443
tcp 124.238.243.14 10.0.3.15 443 46447
tcp 140.249.38.220 10.0.3.15 80 45854
tcp 10.0.3.15 202.113.18.146 51420 80
tcp 202.113.18.146 10.0.3.15 80 51420
tcp 10.0.3.15 124.238.243.14 41892 443
tcp 124.238.243.14 10.0.3.15 443 41892
tcp 10.0.3.15 124.238.243.14 56796 443
tcp 124.238.243.14 10.0.3.15 443 56796
udp 10.0.3.15 202.113.16.41 46299 53
udp 202.113.16.41 10.0.3.15 53 46299
tcp 10.0.3.15 106.75.84.31 47659 443
tcp 106.75.84.31 10.0.3.15 443 47659
udp 10.0.3.15 202.113.16.41 61077 53
udp 202.113.16.41 10.0.3.15 53 61077
tcp 10.0.3.15 154.8.131.165 56959 443
tcp 154.8.131.165 10.0.3.15 443 56959
tcp 10.0.3.15 119.29.29.29 51627 80
tcp 119.29.29.29 10.0.3.15 80 51627
udp 10.0.3.15 202.113.16.41 65134 53
udp 202.113.16.41 10.0.3.15 53 65134
tcp 10.0.3.15 123.246.194.113 33670 443
tcp 10.0.3.15 119.29.29.29 36156 80
tcp 119.29.29.29 10.0.3.15 80 36156
tcp 123.246.194.113 10.0.3.15 443 33670
tcp 10.0.3.15 154.8.131.171 48397 443
tcp 154.8.131.171 10.0.3.15 443 48397
tcp 10.0.3.15 154.8.131.171 50039 443
tcp 154.8.131.171 10.0.3.15 443 50039
tcp 10.0.3.15 154.8.131.171 53820 443
tcp 154.8.131.171 10.0.3.15 443 53820
tcp 10.0.3.15 154.8.131.171 36959 443
tcp 154.8.131.171 10.0.3.15 443 36959
tcp 10.0.3.15 154.8.131.171 56740 443
tcp 10.0.3.15 154.8.131.171 37592 443
tcp 10.0.3.15 154.8.131.171 41909 443
tcp 10.0.3.15 154.8.131.171 36052 443
tcp 10.0.3.15 154.8.131.171 54400 443
tcp 10.0.3.15 154.8.131.171 39476 443
tcp 154.8.131.171 10.0.3.15 443 56740
tcp 154.8.131.171 10.0.3.15 443 41909
tcp 154.8.131.171 10.0.3.15 443 37592
tcp 154.8.131.171 10.0.3.15 443 39476
tcp 154.8.131.171 10.0.3.15 443 54400
tcp 10.0.3.15 154.8.131.171 57440 443
tcp 154.8.131.171 10.0.3.15 443 36052
tcp 154.8.131.171 10.0.3.15 443 57440
tcp 10.0.3.15 154.8.131.165 36022 443
tcp 154.8.131.165 10.0.3.15 443 36022
tcp 10.0.3.15 154.8.131.171 35870 443
tcp 154.8.131.171 10.0.3.15 443 35870
tcp 10.0.3.15 154.8.131.165 55753 443
tcp 10.0.3.15 154.8.131.165 60664 443
tcp 10.0.3.15 154.8.131.165 50972 443
tcp 10.0.3.15 154.8.131.165 37784 443
tcp 10.0.3.15 154.8.131.165 57878 443
tcp 10.0.3.15 154.8.131.165 58107 443
tcp 10.0.3.15 119.29.29.29 46169 80
tcp 10.0.3.15 154.8.131.165 57268 443
tcp 154.8.131.165 10.0.3.15 443 60664
tcp 154.8.131.165 10.0.3.15 443 55753
tcp 154.8.131.165 10.0.3.15 443 50972
tcp 154.8.131.165 10.0.3.15 443 37784
tcp 154.8.131.165 10.0.3.15 443 57878
tcp 154.8.131.165 10.0.3.15 443 58107
tcp 154.8.131.165 10.0.3.15 443 57268
tcp 119.29.29.29 10.0.3.15 80 46169
udp 10.0.3.15 202.113.16.41 18991 53
udp 202.113.16.41 10.0.3.15 53 18991
tcp 10.0.3.15 121.17.123.141 36289 443
tcp 10.0.3.15 119.29.29.29 54482 80
